"","sample_id","sample_date","nutrient","value"
"239","Q1","1988-07-12","ca",NA
"240","Q1","1988-07-12","nh4_n",NA
"241","Q1","1988-07-19","k",0.73
"242","Q1","1988-07-19","no3_n",NA
"243","Q1","1988-07-19","mg",1.84
"244","Q1","1988-07-19","ca",2.54
"245","Q1","1988-07-19","nh4_n",NA
"246","Q1","1988-07-22","k",0.82
"247","Q1","1988-07-22","no3_n",NA
"248","Q1","1988-07-22","mg",2.47
"249","Q1","1988-07-22","ca",3.2
"250","Q1","1988-07-22","nh4_n",NA
"251","Q1","1988-07-26","k",NA
"252","Q1","1988-07-26","no3_n",NA
"253","Q1","1988-07-26","mg",NA
"254","Q1","1988-07-26","ca",NA
"255","Q1","1988-07-26","nh4_n",NA
"256","Q1","1988-07-26","k",0.71
"257","Q1","1988-07-26","no3_n",NA
"258","Q1","1988-07-26","mg",1.65
"259","Q1","1988-07-26","ca",2.43
"260","Q1","1988-07-26","nh4_n",NA
"261","Q1","1988-08-02","k",0.73
"262","Q1","1988-08-02","no3_n",NA
"263","Q1","1988-08-02","mg",2.9
"264","Q1","1988-08-02","ca",3.48
"265","Q1","1988-08-02","nh4_n",NA
"266","Q1","1988-08-09","k",0.81
"267","Q1","1988-08-09","no3_n",NA
"268","Q1","1988-08-09","mg",2.92
"269","Q1","1988-08-09","ca",3.56
"270","Q1","1988-08-09","nh4_n",NA
"271","Q1","1988-08-16","k",0.84
"272","Q1","1988-08-16","no3_n",NA
"273","Q1","1988-08-16","mg",2.85
"274","Q1","1988-08-16","ca",3.49
"275","Q1","1988-08-16","nh4_n",16
"276","Q1","1988-08-23","k",0.87
"277","Q1","1988-08-23","no3_n",135
"278","Q1","1988-08-23","mg",2.71
"279","Q1","1988-08-23","ca",3.95
"280","Q1","1988-08-23","nh4_n",NA
"281","Q1","1988-08-24","k",0.76
"282","Q1","1988-08-24","no3_n",8
"283","Q1","1988-08-24","mg",0.86
"284","Q1","1988-08-24","ca",1.23
"285","Q1","1988-08-24","nh4_n",NA
"286","Q1","1988-08-24","k",NA
"287","Q1","1988-08-24","no3_n",7
"288","Q1","1988-08-24","mg",NA
"289","Q1","1988-08-24","ca",NA
"290","Q1","1988-08-24","nh4_n",NA
"291","Q1","1988-08-24","k",0.77
"292","Q1","1988-08-24","no3_n",NA
"293","Q1","1988-08-24","mg",NA
"294","Q1","1988-08-24","ca",1.79
"295","Q1","1988-08-24","nh4_n",NA
"296","Q1","1988-08-24","k",0.48
"297","Q1","1988-08-24","no3_n",11
"298","Q1","1988-08-24","mg",0.47
"299","Q1","1988-08-24","ca",0.75
"300","Q1","1988-08-24","nh4_n",NA
"301","Q1","1988-08-24","k",0.9
"302","Q1","1988-08-24","no3_n",10
"303","Q1","1988-08-24","mg",0.79
"304","Q1","1988-08-24","ca",1.32
"305","Q1","1988-08-24","nh4_n",NA
"306","Q1","1988-08-30","k",0.78
"307","Q1","1988-08-30","no3_n",150
"308","Q1","1988-08-30","mg",2.62
"309","Q1","1988-08-30","ca",3.29
"310","Q1","1988-08-30","nh4_n",NA
"311","Q1","1988-09-06","k",0.69
"312","Q1","1988-09-06","no3_n",120
"313","Q1","1988-09-06","mg",2.76
"314","Q1","1988-09-06","ca",3.9
"315","Q1","1988-09-06","nh4_n",15
"316","Q1","1988-09-13","k",0.79
"317","Q1","1988-09-13","no3_n",192
"318","Q1","1988-09-13","mg",1.53
"319","Q1","1988-09-13","ca",0.7
"320","Q1","1988-09-13","nh4_n",NA
"321","Q1","1988-09-20","k",0.75
"322","Q1","1988-09-20","no3_n",150
"323","Q1","1988-09-20","mg",2.64
"324","Q1","1988-09-20","ca",3.75
"325","Q1","1988-09-20","nh4_n",47
"326","Q1","1988-09-27","k",0.71
"327","Q1","1988-09-27","no3_n",149
"328","Q1","1988-09-27","mg",2.66
"329","Q1","1988-09-27","ca",4.21
"330","Q1","1988-09-27","nh4_n",NA
"331","Q1","1988-10-04","k",0.73
"332","Q1","1988-10-04","no3_n",43
"333","Q1","1988-10-04","mg",2.09
"334","Q1","1988-10-04","ca",3.05
"335","Q1","1988-10-04","nh4_n",59
"336","Q1","1988-10-11","k",0.75
"337","Q1","1988-10-11","no3_n",151
"338","Q1","1988-10-11","mg",2.58
"339","Q1","1988-10-11","ca",5.02
"340","Q1","1988-10-11","nh4_n",49
"341","Q1","1988-10-18","k",NA
"342","Q1","1988-10-18","no3_n",154
"343","Q1","1988-10-18","mg",NA
"344","Q1","1988-10-18","ca",NA
"345","Q1","1988-10-18","nh4_n",46
"346","Q1","1988-10-25","k",0.88
"347","Q1","1988-10-25","no3_n",146
"348","Q1","1988-10-25","mg",2.56
"349","Q1","1988-10-25","ca",3.97
"350","Q1","1988-10-25","nh4_n",NA
"351","Q1","1988-11-01","k",0.86
"352","Q1","1988-11-01","no3_n",143
"353","Q1","1988-11-01","mg",2.72
"354","Q1","1988-11-01","ca",4.28
"355","Q1","1988-11-01","nh4_n",NA
"356","Q1","1988-11-07","k",0.87
"357","Q1","1988-11-07","no3_n",137
"358","Q1","1988-11-07","mg",2.73
"359","Q1","1988-11-07","ca",4.34
"360","Q1","1988-11-07","nh4_n",NA
"361","Q1","1988-11-15","k",0.99
"362","Q1","1988-11-15","no3_n",130
"363","Q1","1988-11-15","mg",2.68
"364","Q1","1988-11-15","ca",4.22
"365","Q1","1988-11-15","nh4_n",NA
"366","Q1","1988-11-22","k",0.86
"367","Q1","1988-11-22","no3_n",139
"368","Q1","1988-11-22","mg",2.31
"369","Q1","1988-11-22","ca",3.82
"370","Q1","1988-11-22","nh4_n",NA
"371","Q1","1988-11-29","k",0.82
"372","Q1","1988-11-29","no3_n",139
"373","Q1","1988-11-29","mg",2.8
"374","Q1","1988-11-29","ca",4.2
"375","Q1","1988-11-29","nh4_n",NA
"376","Q1","1988-12-06","k",0.82
"377","Q1","1988-12-06","no3_n",139
"378","Q1","1988-12-06","mg",2.5
"379","Q1","1988-12-06","ca",4.24
"380","Q1","1988-12-06","nh4_n",NA
"381","Q1","1988-12-13","k",1.05
"382","Q1","1988-12-13","no3_n",149
"383","Q1","1988-12-13","mg",2.65
"384","Q1","1988-12-13","ca",4.23
"385","Q1","1988-12-13","nh4_n",NA
"386","Q1","1988-12-20","k",0.93
"387","Q1","1988-12-20","no3_n",156
"388","Q1","1988-12-20","mg",2.75
"389","Q1","1988-12-20","ca",4.26
"390","Q1","1988-12-20","nh4_n",NA
"391","Q1","1988-12-27","k",0.93
"392","Q1","1988-12-27","no3_n",156
"393","Q1","1988-12-27","mg",2.68
"394","Q1","1988-12-27","ca",4.15
"395","Q1","1988-12-27","nh4_n",NA
"396","Q1","1989-01-03","k",0.23
"397","Q1","1989-01-03","no3_n",NA
"398","Q1","1989-01-03","mg",0.49
"399","Q1","1989-01-03","ca",NA
"400","Q1","1989-01-03","nh4_n",NA
"401","Q1","1989-01-10","k",0.97
"402","Q1","1989-01-10","no3_n",221
"403","Q1","1989-01-10","mg",2.49
"404","Q1","1989-01-10","ca",4.09
"405","Q1","1989-01-10","nh4_n",NA
"406","Q1","1989-01-17","k",0.99
"407","Q1","1989-01-17","no3_n",10
"408","Q1","1989-01-17","mg",2.73
"409","Q1","1989-01-17","ca",4.43
"410","Q1","1989-01-17","nh4_n",NA
"411","Q1","1989-01-24","k",0.96
"412","Q1","1989-01-24","no3_n",155
"413","Q1","1989-01-24","mg",2.79
"414","Q1","1989-01-24","ca",4.4
"415","Q1","1989-01-24","nh4_n",NA
"416","Q1","1989-01-31","k",0.99
"417","Q1","1989-01-31","no3_n",171
"418","Q1","1989-01-31","mg",2.87
"419","Q1","1989-01-31","ca",4.48
"420","Q1","1989-01-31","nh4_n",NA
"421","Q1","1989-02-07","k",0.95
"422","Q1","1989-02-07","no3_n",176
"423","Q1","1989-02-07","mg",2.78
"424","Q1","1989-02-07","ca",4.5
"425","Q1","1989-02-07","nh4_n",NA
"426","Q1","1989-02-14","k",0.78
"427","Q1","1989-02-14","no3_n",179
"428","Q1","1989-02-14","mg",2.94
"429","Q1","1989-02-14","ca",4.32
"430","Q1","1989-02-14","nh4_n",NA
"431","Q1","1989-02-21","k",0.85
"432","Q1","1989-02-21","no3_n",159
"433","Q1","1989-02-21","mg",2.77
"434","Q1","1989-02-21","ca",4.18
"435","Q1","1989-02-21","nh4_n",NA
"436","Q1","1989-02-28","k",0.94
"437","Q1","1989-02-28","no3_n",159
"438","Q1","1989-02-28","mg",2.64
"439","Q1","1989-02-28","ca",3.94
"440","Q1","1989-02-28","nh4_n",NA
"441","Q1","1989-03-07","k",0.83
"442","Q1","1989-03-07","no3_n",152
"443","Q1","1989-03-07","mg",2.91
"444","Q1","1989-03-07","ca",4.29
"445","Q1","1989-03-07","nh4_n",NA
"446","Q1","1989-03-09","k",NA
"447","Q1","1989-03-09","no3_n",NA
"448","Q1","1989-03-09","mg",NA
"449","Q1","1989-03-09","ca",NA
"450","Q1","1989-03-09","nh4_n",NA
"451","Q1","1989-03-14","k",NA
"452","Q1","1989-03-14","no3_n",10
"453","Q1","1989-03-14","mg",NA
"454","Q1","1989-03-14","ca",NA
"455","Q1","1989-03-14","nh4_n",NA
"456","Q1","1989-03-14","k",0.89
"457","Q1","1989-03-14","no3_n",NA
"458","Q1","1989-03-14","mg",2.62
"459","Q1","1989-03-14","ca",4.1
"460","Q1","1989-03-14","nh4_n",NA
"461","Q1","1989-03-21","k",0.79
"462","Q1","1989-03-21","no3_n",148
"463","Q1","1989-03-21","mg",2.88
"464","Q1","1989-03-21","ca",4.05
"465","Q1","1989-03-21","nh4_n",NA
"466","Q1","1989-03-28","k",0.79
"467","Q1","1989-03-28","no3_n",147
"468","Q1","1989-03-28","mg",2.82
"469","Q1","1989-03-28","ca",3.98
"470","Q1","1989-03-28","nh4_n",NA
"471","Q1","1989-04-04","k",0.82
"472","Q1","1989-04-04","no3_n",146
"473","Q1","1989-04-04","mg",2.76
"474","Q1","1989-04-04","ca",3.51
"475","Q1","1989-04-04","nh4_n",NA
"476","Q1","1989-04-11","k",0.84
"477","Q1","1989-04-11","no3_n",143
"478","Q1","1989-04-11","mg",2.38
"479","Q1","1989-04-11","ca",4.29
"480","Q1","1989-04-11","nh4_n",NA
"481","Q1","1989-04-18","k",0.78
"482","Q1","1989-04-18","no3_n",114
"483","Q1","1989-04-18","mg",2.79
"484","Q1","1989-04-18","ca",4.92
"485","Q1","1989-04-18","nh4_n",NA
"486","Q1","1989-04-25","k",0.88
"487","Q1","1989-04-25","no3_n",147
"488","Q1","1989-04-25","mg",2.74
"489","Q1","1989-04-25","ca",4.92
"490","Q1","1989-04-25","nh4_n",NA
"491","Q1","1989-05-02","k",0.91
"492","Q1","1989-05-02","no3_n",135
"493","Q1","1989-05-02","mg",2.8
"494","Q1","1989-05-02","ca",4.96
"495","Q1","1989-05-02","nh4_n",NA
"496","Q1","1989-05-09","k",0.99
"497","Q1","1989-05-09","no3_n",148
"498","Q1","1989-05-09","mg",2.61
"499","Q1","1989-05-09","ca",4.62
"500","Q1","1989-05-09","nh4_n",NA
"501","Q1","1989-05-16","k",0.89
"502","Q1","1989-05-16","no3_n",149
"503","Q1","1989-05-16","mg",2.87
"504","Q1","1989-05-16","ca",4.75
"505","Q1","1989-05-16","nh4_n",NA
"506","Q1","1989-05-23","k",0.86
"507","Q1","1989-05-23","no3_n",142
"508","Q1","1989-05-23","mg",2.89
"509","Q1","1989-05-23","ca",4.81
"510","Q1","1989-05-23","nh4_n",NA
"511","Q1","1989-05-30","k",0.88
"512","Q1","1989-05-30","no3_n",144
"513","Q1","1989-05-30","mg",2.96
"514","Q1","1989-05-30","ca",4.74
"515","Q1","1989-05-30","nh4_n",NA
"516","Q1","1989-06-06","k",1.4
"517","Q1","1989-06-06","no3_n",134
"518","Q1","1989-06-06","mg",4.97
"519","Q1","1989-06-06","ca",5.22
"520","Q1","1989-06-06","nh4_n",NA
"521","Q1","1989-06-13","k",0.82
"522","Q1","1989-06-13","no3_n",129
"523","Q1","1989-06-13","mg",2.06
"524","Q1","1989-06-13","ca",4.83
"525","Q1","1989-06-13","nh4_n",NA
"526","Q1","1989-06-20","k",0.81
"527","Q1","1989-06-20","no3_n",141
"528","Q1","1989-06-20","mg",3.08
"529","Q1","1989-06-20","ca",4.3
"530","Q1","1989-06-20","nh4_n",NA
"531","Q1","1989-06-27","k",0.83
"532","Q1","1989-06-27","no3_n",161
"533","Q1","1989-06-27","mg",3.15
"534","Q1","1989-06-27","ca",4.53
"535","Q1","1989-06-27","nh4_n",NA
"536","Q1","1989-07-05","k",0.89
"537","Q1","1989-07-05","no3_n",10
"538","Q1","1989-07-05","mg",1.26
"539","Q1","1989-07-05","ca",2.4
"540","Q1","1989-07-05","nh4_n",NA
"541","Q1","1989-07-11","k",1.02
"542","Q1","1989-07-11","no3_n",123
"543","Q1","1989-07-11","mg",2.95
"544","Q1","1989-07-11","ca",5.05
"545","Q1","1989-07-11","nh4_n",NA
"546","Q1","1989-07-18","k",1.02
"547","Q1","1989-07-18","no3_n",NA
"548","Q1","1989-07-18","mg",2.79
"549","Q1","1989-07-18","ca",4.93
"550","Q1","1989-07-18","nh4_n",NA
"551","Q1","1989-07-26","k",0.95
"552","Q1","1989-07-26","no3_n",119
"553","Q1","1989-07-26","mg",2.6
"554","Q1","1989-07-26","ca",4.41
"555","Q1","1989-07-26","nh4_n",NA
"556","Q1","1989-08-01","k",0.92
"557","Q1","1989-08-01","no3_n",134
"558","Q1","1989-08-01","mg",2.77
"559","Q1","1989-08-01","ca",4.3
"560","Q1","1989-08-01","nh4_n",NA
"561","Q1","1989-08-08","k",0.99
"562","Q1","1989-08-08","no3_n",91
"563","Q1","1989-08-08","mg",2.99
"564","Q1","1989-08-08","ca",4.61
"565","Q1","1989-08-08","nh4_n",NA
"566","Q1","1989-08-15","k",0.98
"567","Q1","1989-08-15","no3_n",95
"568","Q1","1989-08-15","mg",3.09
"569","Q1","1989-08-15","ca",4.47
"570","Q1","1989-08-15","nh4_n",NA
"571","Q1","1989-08-22","k",0.9
"572","Q1","1989-08-22","no3_n",200
"573","Q1","1989-08-22","mg",1.33
"574","Q1","1989-08-22","ca",1.22
"575","Q1","1989-08-22","nh4_n",NA
"576","Q1","1989-08-29","k",0.9
"577","Q1","1989-08-29","no3_n",36
"578","Q1","1989-08-29","mg",2.66
"579","Q1","1989-08-29","ca",4.52
"580","Q1","1989-08-29","nh4_n",NA
"581","Q1","1989-09-05","k",0.87
"582","Q1","1989-09-05","no3_n",22
"583","Q1","1989-09-05","mg",2.96
"584","Q1","1989-09-05","ca",4.75
"585","Q1","1989-09-05","nh4_n",NA
"586","Q1","1989-09-12","k",0.91
"587","Q1","1989-09-12","no3_n",NA
"588","Q1","1989-09-12","mg",2.94
"589","Q1","1989-09-12","ca",4.22
"590","Q1","1989-09-12","nh4_n",NA
"591","Q1","1989-09-20","k",NA
"592","Q1","1989-09-20","no3_n",NA
"593","Q1","1989-09-20","mg",NA
"594","Q1","1989-09-20","ca",NA
"595","Q1","1989-09-20","nh4_n",NA
"596","Q1","1989-09-22","k",0.99
"597","Q1","1989-09-22","no3_n",10
"598","Q1","1989-09-22","mg",2.48
"599","Q1","1989-09-22","ca",3.88
"600","Q1","1989-09-22","nh4_n",NA
"601","Q1","1989-09-26","k",1.27
"602","Q1","1989-09-26","no3_n",NA
"603","Q1","1989-09-26","mg",2.63
"604","Q1","1989-09-26","ca",3.93
"605","Q1","1989-09-26","nh4_n",NA
"606","Q1","1989-09-26","k",1.22
"607","Q1","1989-09-26","no3_n",NA
"608","Q1","1989-09-26","mg",2.57
"609","Q1","1989-09-26","ca",3.9
"610","Q1","1989-09-26","nh4_n",NA
"611","Q1","1989-10-03","k",0.98
"612","Q1","1989-10-03","no3_n",NA
"613","Q1","1989-10-03","mg",2.83
"614","Q1","1989-10-03","ca",4.24
"615","Q1","1989-10-03","nh4_n",NA
"616","Q1","1989-10-05","k",1.26
"617","Q1","1989-10-05","no3_n",NA
"618","Q1","1989-10-05","mg",NA
"619","Q1","1989-10-05","ca",NA
"620","Q1","1989-10-05","nh4_n",NA
"621","Q1","1989-10-10","k",0.91
"622","Q1","1989-10-10","no3_n",89
"623","Q1","1989-10-10","mg",2.87
"624","Q1","1989-10-10","ca",4.31
"625","Q1","1989-10-10","nh4_n",NA
"626","Q1","1989-10-17","k",1.04
"627","Q1","1989-10-17","no3_n",NA
"628","Q1","1989-10-17","mg",2.92
"629","Q1","1989-10-17","ca",4.42
"630","Q1","1989-10-17","nh4_n",NA
"631","Q1","1989-10-24","k",1.19
"632","Q1","1989-10-24","no3_n",251
"633","Q1","1989-10-24","mg",2.95
"634","Q1","1989-10-24","ca",4.48
"635","Q1","1989-10-24","nh4_n",NA
"636","Q1","1989-10-31","k",1.23
"637","Q1","1989-10-31","no3_n",338
"638","Q1","1989-10-31","mg",3.97
"639","Q1","1989-10-31","ca",4.14
"640","Q1","1989-10-31","nh4_n",NA
"641","Q1","1989-11-07","k",1.66
"642","Q1","1989-11-07","no3_n",420
"643","Q1","1989-11-07","mg",3.13
"644","Q1","1989-11-07","ca",4.25
"645","Q1","1989-11-07","nh4_n",NA
"646","Q1","1989-11-08","k",2.63
"647","Q1","1989-11-08","no3_n",1365
"648","Q1","1989-11-08","mg",3.1
"649","Q1","1989-11-08","ca",4.24
"650","Q1","1989-11-08","nh4_n",NA
"651","Q1","1989-11-14","k",1.33
"652","Q1","1989-11-14","no3_n",291
"653","Q1","1989-11-14","mg",3.13
"654","Q1","1989-11-14","ca",4.31
"655","Q1","1989-11-14","nh4_n",NA
"656","Q1","1989-11-21","k",1.13
"657","Q1","1989-11-21","no3_n",156
"658","Q1","1989-11-21","mg",3.07
"659","Q1","1989-11-21","ca",4.3
"660","Q1","1989-11-21","nh4_n",NA
"661","Q1","1989-11-28","k",0.93
